"","year","country","influenza_activity"
"1",2002,"Argentina",0
"2",2002,"Australia",0
"3",2002,"Austria",0
"4",2002,"Belgium",0
"5",2002,"Bolivia",0
"6",2002,"Brazil",174
"7",2002,"Bulgaria",0
"8",2002,"Canada",0
"9",2002,"Chile",0
"10",2002,"France",0
"11",2002,"Germany",0
"12",2002,"Hungary",0
"13",2002,"Japan",0
"14",2002,"Mexico",0
"15",2002,"Netherlands",0
"16",2002,"New.Zealand",0
"17",2002,"Norway",0
"18",2002,"Paraguay",0
"19",2002,"Peru",329
"20",2002,"Poland",0
"21",2002,"Romania",0
"22",2002,"Russia",0
"23",2002,"South.Africa",0
"24",2002,"Spain",0
"25",2002,"Sweden",0
"26",2002,"Switzerland",0
"27",2002,"Ukraine",0
"28",2002,"United.States",0
"29",2002,"Uruguay",0
"30",2003,"Argentina",9352
"31",2003,"Australia",0
"32",2003,"Austria",10178
"33",2003,"Belgium",3583
"34",2003,"Bolivia",22563
"35",2003,"Brazil",12386
"36",2003,"Bulgaria",0
"37",2003,"Canada",46784
"38",2003,"Chile",86
"39",2003,"France",4390
"40",2003,"Germany",15507
"41",2003,"Hungary",0
"42",2003,"Japan",458
"43",2003,"Mexico",13233
"44",2003,"Netherlands",786
"45",2003,"New.Zealand",0
"46",2003,"Norway",0
"47",2003,"Paraguay",0
"48",2003,"Peru",20441
"49",2003,"Poland",0
"50",2003,"Romania",32769
"51",2003,"Russia",0
"52",2003,"South.Africa",0
"53",2003,"Spain",1083
"54",2003,"Sweden",0
"55",2003,"Switzerland",1222
"56",2003,"Ukraine",0
"57",2003,"United.States",43231
"58",2003,"Uruguay",6445
"59",2004,"Argentina",8843
"60",2004,"Australia",0
"61",2004,"Austria",32820
"62",2004,"Belgium",2876
"63",2004,"Bolivia",22110
"64",2004,"Brazil",12964
"65",2004,"Bulgaria",2130
"66",2004,"Canada",77828
"67",2004,"Chile",348
"68",2004,"France",1622
"69",2004,"Germany",42880
"70",2004,"Hungary",359
"71",2004,"Japan",4001
"72",2004,"Mexico",45978
"73",2004,"Netherlands",1014
"74",2004,"New.Zealand",0
"75",2004,"Norway",89
"76",2004,"Paraguay",0
"77",2004,"Peru",17143
"78",2004,"Poland",652
"79",2004,"Romania",37393
"80",2004,"Russia",4131
"81",2004,"South.Africa",0
"82",2004,"Spain",1437
"83",2004,"Sweden",0
"84",2004,"Switzerland",1600
"85",2004,"Ukraine",0
"86",2004,"United.States",58593
"87",2004,"Uruguay",7555
"88",2005,"Argentina",8627
"89",2005,"Australia",0
"90",2005,"Austria",41502
"91",2005,"Belgium",6472
"92",2005,"Bolivia",20260
"93",2005,"Brazil",13246
"94",2005,"Bulgaria",41988
"95",2005,"Canada",98859
"96",2005,"Chile",261
"97",2005,"France",5658
"98",2005,"Germany",49315
"99",2005,"Hungary",4471
"100",2005,"Japan",9480
"101",2005,"Mexico",51011
"102",2005,"Netherlands",1779
"103",2005,"New.Zealand",0
"104",2005,"Norway",1904
"105",2005,"Paraguay",10522
"106",2005,"Peru",16040
"107",2005,"Poland",4886
"108",2005,"Romania",40284
"109",2005,"Russia",13596
"110",2005,"South.Africa",0
"111",2005,"Spain",3278
"112",2005,"Sweden",24
"113",2005,"Switzerland",3849
"114",2005,"Ukraine",6043
"115",2005,"United.States",83959
"116",2005,"Uruguay",6647
"117",2006,"Argentina",8966
"118",2006,"Australia",18263
"119",2006,"Austria",36142
"120",2006,"Belgium",4441
"121",2006,"Bolivia",19668
"122",2006,"Brazil",13964
"123",2006,"Bulgaria",46688
"124",2006,"Canada",97598
"125",2006,"Chile",260
"126",2006,"France",3075
"127",2006,"Germany",41952
"128",2006,"Hungary",3295
"129",2006,"Japan",5924
"130",2006,"Mexico",56569
"131",2006,"Netherlands",1497
"132",2006,"New.Zealand",1492
"133",2006,"Norway",1474
"134",2006,"Paraguay",16478
"135",2006,"Peru",14994
"136",2006,"Poland",2521
"137",2006,"Romania",40713
"138",2006,"Russia",15693
"139",2006,"South.Africa",137749
"140",2006,"Spain",2061
"141",2006,"Sweden",153
"142",2006,"Switzerland",1781
"143",2006,"Ukraine",17646
"144",2006,"United.States",77657
"145",2006,"Uruguay",6776
"146",2007,"Argentina",10267
"147",2007,"Australia",29574
"148",2007,"Austria",40517
"149",2007,"Belgium",6305
"150",2007,"Bolivia",19312
"151",2007,"Brazil",13336
"152",2007,"Bulgaria",42751
"153",2007,"Canada",85821
"154",2007,"Chile",558
"155",2007,"France",4203
"156",2007,"Germany",45226
"157",2007,"Hungary",4343
"158",2007,"Japan",7725
"159",2007,"Mexico",70979
"160",2007,"Netherlands",1607
"161",2007,"New.Zealand",1398
"162",2007,"Norway",2231
"163",2007,"Paraguay",16369
"164",2007,"Peru",13770
"165",2007,"Poland",2754
"166",2007,"Romania",40248
"167",2007,"Russia",16590
"168",2007,"South.Africa",135522
"169",2007,"Spain",3246
"170",2007,"Sweden",179
"171",2007,"Switzerland",2999
"172",2007,"Ukraine",21139
"173",2007,"United.States",73300
"174",2007,"Uruguay",7430
"175",2008,"Argentina",9299
"176",2008,"Australia",25091
"177",2008,"Austria",43065
"178",2008,"Belgium",4696
"179",2008,"Bolivia",16526
"180",2008,"Brazil",12637
"181",2008,"Bulgaria",35190
"182",2008,"Canada",84826
"183",2008,"Chile",412
"184",2008,"France",4853
"185",2008,"Germany",43582
"186",2008,"Hungary",5430
"187",2008,"Japan",4799
"188",2008,"Mexico",60574
"189",2008,"Netherlands",1801
"190",2008,"New.Zealand",1883
"191",2008,"Norway",2271
"192",2008,"Paraguay",14820
"193",2008,"Peru",11946
"194",2008,"Poland",2617
"195",2008,"Romania",39262
"196",2008,"Russia",20976
"197",2008,"South.Africa",135377
"198",2008,"Spain",2209
"199",2008,"Sweden",169
"200",2008,"Switzerland",3345
"201",2008,"Ukraine",20457
"202",2008,"United.States",92943
"203",2008,"Uruguay",6339
"204",2009,"Argentina",7952
"205",2009,"Australia",22796
"206",2009,"Austria",47117
"207",2009,"Belgium",10320
"208",2009,"Bolivia",14516
"209",2009,"Brazil",10984
"210",2009,"Bulgaria",37187
"211",2009,"Canada",141118
"212",2009,"Chile",1074
"213",2009,"France",8042
"214",2009,"Germany",45497
"215",2009,"Hungary",7913
"216",2009,"Japan",21061
"217",2009,"Mexico",59050
"218",2009,"Netherlands",3062
"219",2009,"New.Zealand",2644
"220",2009,"Norway",6877
"221",2009,"Paraguay",13894
"222",2009,"Peru",10432
"223",2009,"Poland",5521
"224",2009,"Romania",41179
"225",2009,"Russia",29361
"226",2009,"South.Africa",150344
"227",2009,"Spain",4011
"228",2009,"Sweden",474
"229",2009,"Switzerland",5836
"230",2009,"Ukraine",25627
"231",2009,"United.States",139394
"232",2009,"Uruguay",5770
"233",2010,"Argentina",6946
"234",2010,"Australia",12571
"235",2010,"Austria",32008
"236",2010,"Belgium",2733
"237",2010,"Bolivia",11752
"238",2010,"Brazil",8970
"239",2010,"Bulgaria",23801
"240",2010,"Canada",67855
"241",2010,"Chile",848
"242",2010,"France",1564
"243",2010,"Germany",34000
"244",2010,"Hungary",2754
"245",2010,"Japan",2106
"246",2010,"Mexico",59504
"247",2010,"Netherlands",1145
"248",2010,"New.Zealand",1742
"249",2010,"Norway",3338
"250",2010,"Paraguay",10017
"251",2010,"Peru",8541
"252",2010,"Poland",1264
"253",2010,"Romania",32246
"254",2010,"Russia",23322
"255",2010,"South.Africa",129539
"256",2010,"Spain",727
"257",2010,"Sweden",106
"258",2010,"Switzerland",1044
"259",2010,"Ukraine",20098
"260",2010,"United.States",73160
"261",2010,"Uruguay",5087
"262",2011,"Argentina",5541
"263",2011,"Australia",13138
"264",2011,"Austria",34888
"265",2011,"Belgium",4477
"266",2011,"Bolivia",10859
"267",2011,"Brazil",8345
"268",2011,"Bulgaria",25930
"269",2011,"Canada",73778
"270",2011,"Chile",315
"271",2011,"France",3089
"272",2011,"Germany",34730
"273",2011,"Hungary",4159
"274",2011,"Japan",7054
"275",2011,"Mexico",49524
"276",2011,"Netherlands",1627
"277",2011,"New.Zealand",1674
"278",2011,"Norway",4852
"279",2011,"Paraguay",9347
"280",2011,"Peru",7053
"281",2011,"Poland",2377
"282",2011,"Romania",34686
"283",2011,"Russia",26352
"284",2011,"South.Africa",129150
"285",2011,"Spain",1224
"286",2011,"Sweden",201
"287",2011,"Switzerland",2314
"288",2011,"Ukraine",19755
"289",2011,"United.States",86415
"290",2011,"Uruguay",4686
"291",2012,"Argentina",6155
"292",2012,"Australia",27452
"293",2012,"Austria",40088
"294",2012,"Belgium",4758
"295",2012,"Bolivia",10035
"296",2012,"Brazil",7685
"297",2012,"Bulgaria",16289
"298",2012,"Canada",101581
"299",2012,"Chile",696
"300",2012,"France",3840
"301",2012,"Germany",35974
"302",2012,"Hungary",3532
"303",2012,"Japan",15759
"304",2012,"Mexico",59964
"305",2012,"Netherlands",2023
"306",2012,"New.Zealand",2373
"307",2012,"Norway",4606
"308",2012,"Paraguay",9010
"309",2012,"Peru",6769
"310",2012,"Poland",1670
"311",2012,"Romania",32288
"312",2012,"Russia",27213
"313",2012,"South.Africa",136519
"314",2012,"Spain",1938
"315",2012,"Sweden",368
"316",2012,"Switzerland",2944
"317",2012,"Ukraine",19375
"318",2012,"United.States",122918
"319",2012,"Uruguay",5070
"320",2013,"Argentina",6529
"321",2013,"Australia",19071
"322",2013,"Austria",50229
"323",2013,"Belgium",9622
"324",2013,"Bolivia",9129
"325",2013,"Brazil",8676
"326",2013,"Bulgaria",17955
"327",2013,"Canada",104231
"328",2013,"Chile",1180
"329",2013,"France",7606
"330",2013,"Germany",40928
"331",2013,"Hungary",4224
"332",2013,"Japan",24627
"333",2013,"Mexico",63665
"334",2013,"Netherlands",2721
"335",2013,"New.Zealand",2260
"336",2013,"Norway",4654
"337",2013,"Paraguay",11755
"338",2013,"Peru",6777
"339",2013,"Poland",2702
"340",2013,"Romania",33899
"341",2013,"Russia",33134
"342",2013,"South.Africa",140671
"343",2013,"Spain",2769
"344",2013,"Sweden",556
"345",2013,"Switzerland",6379
"346",2013,"Ukraine",21955
"347",2013,"United.States",130196
"348",2013,"Uruguay",5005
"349",2014,"Argentina",7073
"350",2014,"Australia",30705
"351",2014,"Austria",51635
"352",2014,"Belgium",5475
"353",2014,"Bolivia",9065
"354",2014,"Brazil",8855
"355",2014,"Bulgaria",25346
"356",2014,"Canada",121388
"357",2014,"Chile",1075
"358",2014,"France",2923
"359",2014,"Germany",38029
"360",2014,"Hungary",3994
"361",2014,"Japan",33764
"362",2014,"Mexico",69945
"363",2014,"Netherlands",1680
"364",2014,"New.Zealand",3322
"365",2014,"Norway",4072
"366",2014,"Paraguay",13242
"367",2014,"Peru",6555
"368",2014,"Poland",1536
"369",2014,"Romania",34484
"370",2014,"Russia",30966
"371",2014,"South.Africa",155577
"372",2014,"Spain",3010
"373",2014,"Sweden",266
"374",2014,"Switzerland",3870
"375",2014,"Ukraine",20112
"376",2014,"United.States",99848
"377",2014,"Uruguay",5390
"378",2015,"Argentina",4841
"379",2015,"Australia",20355
"380",2015,"Austria",40143
"381",2015,"Belgium",11111
"382",2015,"Bolivia",6407
"383",2015,"Brazil",6603
"384",2015,"Bulgaria",16569
"385",2015,"Canada",68006
"386",2015,"Chile",431
"387",2015,"France",10760
